lon,lat,ele,time,day
19.042851012200117,49.77197103202343,575.6,12:13:01,2015-09-17
19.042893005535007,49.77203900925815,572.8,12:13:02,2015-09-17
19.04302996583283,49.772026017308235,572.2,12:13:03,2015-09-17
19.043130967766047,49.77205300703645,570.1,12:13:04,2015-09-17
19.043206991627812,49.772046972066164,569.6,12:13:05,2015-09-17
19.043302964419127,49.77207597345114,567.6,12:13:06,2015-09-17
19.043358033522964,49.7720449604094,568.3,12:13:07,2015-09-17
19.043429028242826,49.772030962631106,568.1,12:13:08,2015-09-17
19.043521983549,49.77202299982309,567.5,12:13:09,2015-09-17
19.043600019067526,49.77199902758002,567.7,12:13:10,2015-09-17
19.04363497160375,49.7720140311867,566.8,12:13:11,2015-09-17
19.043638994917274,49.77205300703645,565.2,12:13:13,2015-09-17
19.043712001293898,49.77203900925815,565.1,12:14:04,2015-09-17
19.043765980750322,49.772027023136616,565.0,12:14:05,2015-09-17
19.04382297769189,49.77201101370156,565.0,12:14:06,2015-09-17
19.043919034302235,49.77199299260974,564.5,12:14:07,2015-09-17
19.04410100542009,49.77198603563011,562.7,12:14:08,2015-09-17
19.044219022616744,49.771961979568005,562.2,12:14:09,2015-09-17
19.04432002454996,49.771961979568005,561.0,12:14:10,2015-09-17
19.044411974027753,49.7719069942832,561.8,12:14:11,2015-09-17
19.044494032859802,49.77181797847152,563.7,12:14:12,2015-09-17
19.044583970680833,49.77177497930825,564.0,12:14:13,2015-09-17
19.0446650236845,49.77174497209489,564.6,12:14:14,2015-09-17
19.044709028676152,49.77171798236668,565.2,12:14:15,2015-09-17
19.044690001755953,49.771660482510924,568.7,12:14:19,2015-09-17
19.0447514411062,49.771626368165016,568.6,12:14:21,2015-09-17
19.044797457754612,49.77163533680141,567.5,12:14:22,2015-09-17
19.044801983982325,49.771680012345314,565.9,12:14:23,2015-09-17
19.044886976480484,49.771940018981695,558.1,12:14:25,2015-09-17
19.044935004785657,49.77200296707451,556.2,12:14:26,2015-09-17
19.044931987300515,49.77207303978503,554.3,12:14:27,2015-09-17
19.04496300034225,49.77212903089821,552.9,12:14:28,2015-09-17
19.044959982857108,49.77217496372759,551.8,12:14:29,2015-09-17
19.044889993965626,49.772264985367656,549.6,12:14:30,2015-09-17
19.04485302977264,49.7723750397563,546.9,12:14:31,2015-09-17
19.044779017567635,49.77244796231389,545.0,12:14:32,2015-09-17
19.044806007295847,49.772541001439095,542.8,12:14:33,2015-09-17
19.044754039496183,49.772626999765635,540.6,12:14:34,2015-09-17
19.044806007295847,49.77271802723408,538.4,12:14:35,2015-09-17
19.044807013124228,49.77272096090019,538.3,12:14:37,2015-09-17
19.044782035052776,49.772775024175644,537.0,12:14:38,2015-09-17
19.044818999245763,49.77285197004676,535.2,12:14:39,2015-09-17
19.04481003060937,49.772887006402016,534.3,12:14:40,2015-09-17
19.044827967882156,49.77291801944375,533.6,12:14:41,2015-09-17
19.04483199119568,49.77295800112188,532.6,12:14:42,2015-09-17
19.044865015894175,49.77300502359867,531.6,12:14:43,2015-09-17
19.044937016442418,49.77307098917663,530.2,12:14:44,2015-09-17
19.044973980635405,49.773122034966946,528.9,12:14:45,2015-09-17
19.04502402059734,49.77317299693823,527.7,12:14:46,2015-09-17
19.045076994225383,49.77323804050684,526.0,12:14:47,2015-09-17
19.04511395841837,49.773271987214684,525.1,12:14:49,2015-09-17
19.0451779961586,49.773338036611676,523.3,12:14:50,2015-09-17
19.045364996418357,49.77341297082603,520.8,12:14:51,2015-09-17
19.045382011681795,49.773465022444725,519.3,12:14:52,2015-09-17
19.045407995581627,49.77352797053754,517.4,12:14:53,2015-09-17
19.045473961159587,49.77358999662101,516.5,12:14:54,2015-09-17
19.045548979192972,49.773637019097805,516.3,12:14:55,2015-09-17
19.04565098695457,49.77371597662568,515.4,12:15:03,2015-09-17
19.04577998444438,49.7737390268594,516.6,12:15:06,2015-09-17
19.045833963900805,49.773786971345544,516.0,12:15:35,2015-09-17
19.046106040477753,49.7740069963038,513.1,12:15:37,2015-09-17
19.046264039352536,49.77408201433718,512.4,12:15:38,2015-09-17
19.04638197273016,49.774176981300116,511.0,12:15:39,2015-09-17
19.046558998525143,49.774300027638674,509.1,12:15:40,2015-09-17
19.0466579888016,49.77440798655152,506.6,12:15:41,2015-09-17
19.04685496352613,49.77457797154784,502.7,12:15:42,2015-09-17
19.046988990157843,49.774711998179555,499.7,12:15:43,2015-09-17
19.047102984040976,49.77479196153581,497.9,12:15:44,2015-09-17
19.04723701067269,49.77490997873247,494.8,12:15:45,2015-09-17
19.04732703231275,49.775010980665684,491.9,12:15:46,2015-09-17
19.04745200648904,49.77502103894949,492.4,12:15:49,2015-09-17
19.047504980117083,49.77505297400057,491.6,12:15:50,2015-09-17
19.047659039497375,49.77515397593379,489.0,12:15:51,2015-09-17
19.047848973423243,49.775272998958826,485.9,12:15:52,2015-09-17
19.048018036410213,49.77532002143562,485.0,12:15:53,2015-09-17
19.048502007499337,49.77560902945697,478.1,12:15:55,2015-09-17
19.04869998805225,49.77558597922325,479.4,12:15:56,2015-09-17
19.048868967220187,49.77567298337817,477.3,12:15:57,2015-09-17
19.048993019387126,49.775636019185185,478.3,12:15:58,2015-09-17
19.049140959978104,49.7756630089134,477.6,12:15:59,2015-09-17
19.049249002709985,49.77571103721857,476.4,12:16:00,2015-09-17
19.049342963844538,49.775743978098035,475.6,12:16:02,2015-09-17
19.049382023513317,49.77576903998852,475.0,12:16:03,2015-09-17
19.049491994082928,49.77578999474645,474.5,12:16:04,2015-09-17
19.049635995179415,49.77586501277983,472.7,12:16:05,2015-09-17
19.04971201904118,49.77585596032441,473.0,12:16:06,2015-09-17
19.049812015146017,49.77588403970003,472.3,12:16:07,2015-09-17
19.050046959891915,49.77595201693475,470.7,12:16:08,2015-09-17
19.05027301982045,49.77605503052473,468.1,12:16:09,2015-09-17
19.05040101148188,49.77610297501087,466.9,12:16:10,2015-09-17
19.050492960959673,49.77610096335411,466.8,12:16:11,2015-09-17
19.050582982599735,49.77610498666763,466.5,12:16:12,2015-09-17
19.050663029775023,49.77610398083925,466.4,12:16:13,2015-09-17
19.050759002566338,49.7761120274663,466.0,12:16:14,2015-09-17
19.05076797120273,49.77615402080119,464.9,12:16:15,2015-09-17
19.05087098479271,49.77618696168065,464.0,12:16:17,2015-09-17
19.051005011424422,49.77619802579284,463.5,12:16:18,2015-09-17
19.05110500752926,49.77625099942088,462.2,12:16:19,2015-09-17
19.051226964220405,49.77631201967597,461.0,12:16:20,2015-09-17
19.05121497809887,49.776388965547085,459.7,12:16:21,2015-09-17
19.051240039989352,49.776433976367116,458.9,12:16:22,2015-09-17
19.051544722169638,49.776456858962774,455.3,12:16:24,2015-09-17
19.05172560364008,49.776456858962774,456.0,12:16:25,2015-09-17
19.051903299987316,49.7764191403985,455.4,12:16:26,2015-09-17
19.052080996334553,49.77636524476111,454.9,12:16:27,2015-09-17
19.05224218033254,49.776362562552094,454.0,12:16:28,2015-09-17
19.052350725978613,49.776362562552094,454.3,12:16:29,2015-09-17
19.052436305209994,49.77634906768799,454.4,12:16:30,2015-09-17
19.05259396880865,49.776364993304014,456.0,12:16:39,2015-09-17
19.05263596214354,49.776344038546085,456.2,12:16:40,2015-09-17
19.05267502181232,49.7763329744339,456.3,12:16:41,2015-09-17
19.05271902680397,49.776324005797505,456.2,12:16:42,2015-09-17
19.052768982946873,49.77633398026228,455.6,12:16:43,2015-09-17
19.052811982110143,49.77635099552572,454.9,12:16:44,2015-09-17
19.052859004586935,49.776363987475634,454.2,12:16:45,2015-09-17
19.05290803872049,49.77637203410268,453.7,12:16:46,2015-09-17
19.052965035662055,49.77637597359717,453.2,12:16:47,2015-09-17
19.05306000262499,49.77638200856745,452.4,12:16:48,2015-09-17
19.05321196652949,49.77637396194041,451.5,12:16:49,2015-09-17
19.053392009809613,49.77640002965927,449.5,12:16:50,2015-09-17
19.05349401757121,49.776431964710355,448.0,12:16:51,2015-09-17
19.053582027554512,49.7764450404793,447.0,12:16:52,2015-09-17
19.053659979254007,49.77644897997379,446.4,12:16:53,2015-09-17
19.053742960095406,49.7764349821955,446.2,12:16:54,2015-09-17
19.05381496064365,49.776473036035895,444.6,12:16:55,2015-09-17
19.053914034739137,49.776475969702005,443.7,12:16:56,2015-09-17
19.054012019187212,49.77646700106561,443.1,12:16:57,2015-09-17
19.05409298837185,49.77648803964257,442.0,12:16:58,2015-09-17
19.054207988083363,49.77649197913706,440.9,12:16:59,2015-09-17
19.05437596142292,49.776492984965444,439.6,12:17:01,2015-09-17
19.05452700331807,49.77651100605726,438.1,12:17:02,2015-09-17
19.05461300164461,49.776492984965444,437.8,12:17:03,2015-09-17
19.054730013012886,49.776494996622205,437.2,12:17:04,2015-09-17
19.054808970540762,49.776472030207515,437.2,12:17:06,2015-09-17
19.054859010502696,49.776472030207515,436.9,12:17:07,2015-09-17
19.054903015494347,49.77647798135877,436.6,12:17:08,2015-09-17
19.054947020485997,49.776514023542404,435.9,12:17:12,2015-09-17
19.054965041577816,49.77655199356377,435.3,12:17:13,2015-09-17
19.054980967193842,49.7765779774636,434.9,12:17:15,2015-09-17
19.055055985227227,49.77654998190701,435.0,12:17:38,2015-09-17
19.055048022419214,49.77659096941352,434.5,12:17:39,2015-09-17
19.055054979398847,49.77663204073906,434.0,12:17:40,2015-09-17
19.055065959692,49.776669004932046,433.5,12:17:41,2015-09-17
19.0550849866122,49.77670202963054,433.1,12:17:42,2015-09-17
19.05512396246195,49.776729019358754,432.7,12:17:43,2015-09-17
19.055176014080644,49.77674796245992,432.3,12:17:44,2015-09-17
19.055238962173462,49.776771012693644,432.0,12:17:45,2015-09-17
19.055304005742073,49.77680303156376,431.5,12:17:46,2015-09-17
19.055377012118697,49.77683303877711,431.2,12:17:47,2015-09-17
19.055480025708675,49.776860028505325,430.5,12:17:48,2015-09-17
19.055587984621525,49.77687302045524,429.7,12:17:49,2015-09-17
19.055673982948065,49.77687897160649,429.2,12:17:50,2015-09-17
19.055743971839547,49.77688601240516,428.7,12:17:51,2015-09-17
19.05581002123654,49.77690503932536,428.1,12:17:52,2015-09-17
19.055868024006486,49.77692800574005,427.6,12:17:53,2015-09-17
19.055928038433194,49.77695499546826,427.0,12:17:54,2015-09-17
19.055996015667915,49.77698299102485,426.4,12:17:55,2015-09-17
19.056145967915654,49.77707200683653,424.7,12:17:56,2015-09-17
19.056210005655885,49.77712104097009,424.0,12:17:57,2015-09-17
19.056255016475916,49.777178959921,423.5,12:17:58,2015-09-17
19.056292986497283,49.777207961305976,423.3,12:17:59,2015-09-17
19.056335985660553,49.7772809676826,422.9,12:18:01,2015-09-17
19.056339003145695,49.77732899598777,422.6,12:18:02,2015-09-17
19.05637596733868,49.777419017627835,422.1,12:18:03,2015-09-17
19.05643598176539,49.77745497599244,421.7,12:18:04,2015-09-17
19.05641896650195,49.77750099264085,421.5,12:18:05,2015-09-17
19.05645500868559,49.77753502316773,421.2,12:18:06,2015-09-17
19.056464983150363,49.777655974030495,420.5,12:18:09,2015-09-17
19.05641603283584,49.77769302204251,420.4,12:18:10,2015-09-17
19.05643397010863,49.77773300372064,420.1,12:18:11,2015-09-17
19.056445034220815,49.777762005105615,419.9,12:18:12,2015-09-17
19.05643103644252,49.7777989692986,419.8,12:18:13,2015-09-17
19.05646003782749,49.77783299982548,419.5,12:18:14,2015-09-17
19.05646196566522,49.777872981503606,419.2,12:18:15,2015-09-17
19.056473029777408,49.777911035344005,419.0,12:18:16,2015-09-17
19.056501025334,49.77795202285051,418.3,12:18:17,2015-09-17
19.056527009233832,49.7779940161854,417.7,12:18:18,2015-09-17
19.05654402449727,49.778044978156686,417.0,12:18:19,2015-09-17
19.05654796399176,49.7781100217253,416.1,12:18:20,2015-09-17
19.05656900256872,49.7782429587096,414.4,12:18:21,2015-09-17
19.056636979803443,49.77832602337003,413.2,12:18:22,2015-09-17
19.05660596676171,49.77837103419006,412.7,12:18:24,2015-09-17
19.056552993133664,49.77841503918171,412.2,12:18:26,2015-09-17
19.05650303699076,49.7784570325166,411.8,12:18:28,2015-09-17
19.0564769692719,49.778495002537966,411.3,12:18:30,2015-09-17
19.056446040049195,49.77853003889322,410.9,12:18:32,2015-09-17
19.05641603283584,49.77854898199439,410.7,12:18:35,2015-09-17
